pointID,TAS,PRE,RSDS,VPD,DEPTH,SAND,CLAY,SOC,CEC,PH,DEM,Aspect,Slope
11827,255,2007,167,11447,200,3700,4071,1458,951,447,222.387,156.423,5.23349
11828,254,2017,167,11414,200,3714,4173,1691,904,445,228.886,172.076,5.46101
11829,254,2027,167,11366,200,3644,4162,1431,904,446,240.411,194.525,5.92597
11830,254,2036,166,11356,200,3740,4054,1387,798,446,242.559,153.442,6.4912
11831,254,2045,166,11324,200,3740,4054,1314,798,446,250.61,161.516,6.67929
11832,255,2059,166,11292,200,3785,4060,1364,790,448,232.289,168.544,4.30908
11833,255,2066,166,11261,200,3685,4098,1418,867,446,233.311,159.598,4.65967
11834,254,2075,165,11219,200,3729,4138,1418,865,450,231.55,193.536,4.70928
11835,254,2086,165,11162,200,3708,4162,1422,890,445,231.55,193.536,4.70928
11836,253,2096,165,11089,200,3557,4197,1364,962,441,243.168,176.924,5.27092
11837,252,2106,165,11018,200,3390,4244,1421,961,442,259.705,190.913,5.88573
11838,253,2114,165,11007,200,3228,4243,1438,1004,447,269.691,153.708,4.591
11839,253,2119,165,10980,200,3354,4267,1514,979,444,257.035,175.731,4.10323
11840,253,2120,165,10961,200,3492,4296,1426,962,448,256.834,164.423,4.04872
11841,253,2117,166,10970,200,3492,4296,1442,962,448,261.122,163.48,4.50499
11842,254,2111,166,10990,200,3399,4335,1452,949,448,242.24,154.716,3.82858
11843,254,2102,166,11009,200,3440,4295,1401,929,444,245.175,161.223,5.87138
11844,255,2079,166,11079,200,3668,4155,1401,942,450,225.951,170.985,3.85615
11845,255,2067,166,11108,200,3701,4222,1319,963,444,222.206,141.049,4.16364
11846,255,2054,166,11141,200,3754,4229,1289,955,447,219.652,171.222,3.97645
11847,255,2041,166,11173,200,3764,4162,1311,945,447,219.652,171.222,3.97645
11848,256,2029,167,11212,200,3808,4127,1371,1017,447,215.021,162.992,3.68125
11849,256,2017,167,11262,200,3815,4010,1459,1003,444,209.129,160.221,3.22391
11850,255,2006,167,11267,200,3806,3989,1404,995,444,208.353,191.518,3.9243
11851,255,1995,167,11298,200,3806,3989,1314,995,444,217.58,157.236,3.81325
11852,255,1984,167,11331,200,3761,4002,1304,987,444,215.434,153.704,3.73312
11853,255,1974,167,11356,200,3750,3946,1629,973,444,219.719,194.902,5.53184
11854,256,1966,167,11420,200,3687,4078,1629,1071,444,201.879,152.517,5.29328
11855,256,1960,167,11415,200,3861,4076,1407,1029,446,213.298,177.456,4.39367
11856,256,1963,167,11447,200,3719,4045,1325,968,444,206.334,179.889,4.93107
11857,255,1969,167,11430,200,3674,4114,1329,841,447,215.515,176.152,4.47643
11858,255,1980,167,11410,200,3758,4005,1348,830,447,224.034,157.763,3.89536
11859,255,1993,166,11398,200,3731,4058,1309,943,444,218.138,152.458,4.02597
11860,255,2008,166,11372,200,3677,4109,1281,923,444,218.138,152.458,4.02597
11861,255,2023,166,11331,200,3677,4109,1357,923,444,221.51,209.823,4.81276
11862,255,2036,166,11310,200,3739,4019,1333,872,444,225.573,155.523,4.70566
11863,255,2046,166,11284,200,3929,4074,1325,863,444,228.777,183.351,4.15245
11864,256,2051,166,11311,200,3878,4097,1325,854,446,227.314,153.048,5.25916
11865,257,2051,166,11331,200,3906,3931,1346,900,448,204.972,151.176,4.46337
11866,257,2045,167,11358,200,3984,3942,1321,915,451,198.074,154.175,4.41013
11867,257,2035,167,11380,200,3786,3947,1331,945,447,191.749,163.755,3.96604
11868,257,2020,167,11411,200,3758,3957,1380,882,447,200.822,188.075,4.43871
11869,258,1986,168,11512,200,3689,4010,1396,908,446,184.818,151.621,4.82443
11870,257,1968,168,11554,200,3768,4067,1327,908,447,188.824,165.085,5.62047
11871,258,1951,168,11621,200,3768,4067,1359,908,447,172.748,155.754,4.15459
11872,258,1936,168,11661,200,4008,4033,1395,932,447,175.062,177.225,4.05769
11873,259,1923,168,11701,200,4014,3881,1360,917,448,175.062,177.225,4.05769
11874,259,1911,168,11737,200,3926,3998,1360,903,448,170.268,144.701,4.08548
11875,259,1900,168,11775,200,3886,4153,1327,922,448,166.329,166.881,3.98707
11876,259,1891,168,11794,200,3800,4186,1322,913,448,164.553,168.597,4.44336
11877,259,1883,168,11818,200,3753,4205,1304,888,448,170.277,171.688,4.43339
11878,259,1875,169,11853,200,3779,4073,1315,848,448,162.978,153.176,4.62133
11879,260,1868,169,11879,200,3780,4049,1481,952,455,163.247,169.334,6.26552
11880,259,1862,169,11893,200,3780,4049,1408,952,455,160.372,165.915,5.45279
11881,260,1854,169,11930,200,3668,4145,1312,1565,452,152.787,150.05,3.71514
11882,260,1850,169,11942,200,3672,4128,1338,1212,455,152.251,160.221,3.06907
11883,260,1847,169,11953,200,3800,4017,1334,1065,454,151.451,153.02,3.42619
11884,260,1845,169,11968,200,3767,4030,1334,991,454,148.18,177.942,3.42247
11885,260,1844,169,11981,200,3839,4179,1280,968,455,148.779,165.28,3.21575
11886,260,1843,169,11990,200,3691,4037,1263,1031,455,148.779,165.28,3.21575
11887,260,1845,169,12000,200,3591,3991,1283,1055,452,145.642,158.891,3.50474
11888,260,1849,169,11990,200,3562,3955,1304,1030,451,141.894,162.705,3.05656
11889,259,1855,169,11971,200,3744,3925,1315,1001,448,157.745,182.707,5.19494
11890,259,1861,169,11962,200,3744,3925,1329,1001,448,169.353,189.315,5.57148
11891,259,1869,169,11963,200,3693,3947,1281,928,444,164.64,152.499,5.04149
11892,260,1876,169,11958,200,3715,3918,1303,878,440,155.561,177.687,4.58052
11893,260,1889,169,11959,200,3711,3947,1303,873,443,159.954,181.607,6.40014
11894,260,1893,169,11958,200,3817,3809,1305,883,444,153.512,179.216,4.95016
11895,260,1896,169,11968,200,3861,3733,1313,924,448,160.069,137.638,4.05966
11896,260,1899,169,11979,200,3695,3838,1332,948,450,152.145,195.691,5.96538
11897,259,1904,169,11981,200,3696,3846,1364,916,450,160.508,163.354,4.65111
11898,259,1909,169,11981,200,3635,3963,1344,917,449,156.722,152.122,5.05573
11899,260,1918,169,11993,200,3627,3979,1420,928,446,156.722,152.122,5.05573
11900,259,1930,169,11959,200,3627,3979,1319,928,446,150.302,164.146,4.33621
11901,260,1945,168,11952,200,3709,3862,1329,943,448,169.484,179.642,8.33545
11902,259,1963,168,11893,200,3780,3889,1446,958,448,159.89,195.563,7.0831
11903,259,1980,168,11882,200,3848,3960,1446,990,448,173.902,150.226,6.01186
11904,259,1995,168,11853,200,3784,3879,1454,950,448,169.754,182.388,5.65686
11905,258,2020,168,11783,200,3820,3946,1341,945,452,162.507,176.433,5.1421
11906,258,2027,168,11777,200,3834,3874,1273,949,455,190.662,161.309,7.25331
11907,259,2032,168,11798,200,3653,3943,1406,970,450,166.895,142.2,4.47249
11908,260,2035,168,11803,200,3646,3834,1462,951,450,157.662,167.223,4.74107
11909,259,2038,168,11782,200,3672,3915,1507,948,449,167.88,192.986,5.2765
11910,259,2040,168,11779,200,3672,3915,1544,948,449,174.659,180.756,4.68182
11911,259,2039,168,11769,200,3708,3858,1543,912,453,174.659,180.756,4.68182
11912,260,2035,169,11801,200,3675,3802,1611,921,451,180.423,162.956,4.89988
11913,260,2027,169,11819,200,3720,3878,1611,944,452,163.154,152.222,5.68057
11914,260,2013,169,11872,200,3490,3982,2014,937,453,160.55,156.975,5.45393
11915,261,1997,169,11922,200,3575,3924,2830,1022,460,135.993,126.64,4.82647
11916,258,1981,169,11903,200,3582,3886,1651,1070,457,152.061,177.981,8.83766
11917,258,1967,169,11943,200,3762,3733,1472,947,454,183.388,157.113,12.5321
11918,260,1944,169,12062,200,3747,3738,1382,926,451,153.591,178.47,5.43412
11919,260,1940,169,12077,200,3747,3738,1313,926,451,158.932,154.673,4.11625
11920,260,1941,169,12081,200,3794,3773,1310,921,452,162.253,173.348,4.41735
11921,260,1944,169,12086,200,3669,3846,1291,1028,452,160.602,164.405,4.23812
11922,260,1949,169,12097,200,3725,3880,1291,923,452,151.434,178.192,3.83554
11923,260,1955,169,12085,200,3772,3742,1250,947,455,159.899,165.337,3.74225
11924,261,1959,169,12098,200,3754,3779,1344,927,457,159.899,165.337,3.74225
11925,261,1962,170,12104,200,3701,3718,1310,935,455,148.44,158.235,3.67775
11926,260,1964,170,12086,200,3746,3696,1297,967,455,149.915,183.479,3.76381
11927,260,1966,170,12090,200,3739,3731,1329,905,448,159.786,160.891,3.62048
11928,260,1967,170,12086,200,3829,3828,1389,861,448,157.734,172.309,3.48388
11929,260,1968,170,12084,200,3829,3828,1313,861,448,162.563,171.332,3.88978
11930,259,1973,170,12047,200,3751,3868,1289,941,450,173.494,189.073,4.19276
11931,259,1976,170,12041,200,3755,3876,1284,1007,455,185.46,175.404,4.22042
11932,259,1980,170,12042,200,3808,3834,1284,1021,456,174.153,168.401,3.9891
11933,259,1986,170,12028,200,3940,3763,1379,1017,451,173.969,161.044,4.29074
11934,258,1995,170,11984,200,3891,3819,1364,1069,453,191.173,189.419,7.45512
11935,259,2005,170,11978,200,3879,3900,1375,1074,455,188.607,206.568,6.58092
11936,259,2018,170,11953,200,3676,4038,1491,974,451,190.334,159.53,5.0387
11937,259,2031,170,11935,200,3772,4007,1490,1006,451,190.334,159.53,5.0387
11938,258,2046,169,11884,200,3522,4157,1530,900,453,179.92,176.002,5.21719
11939,255,2060,169,11772,200,3522,4157,1505,900,453,200.341,202.18,6.78697
11940,257,2073,169,11792,200,3576,4164,1357,878,452,233.344,146.38,6.93805
11941,257,2087,169,11772,200,3712,4123,1389,883,455,215.262,141.456,4.04694
12001,254,1946,166,11408,200,3791,3953,1389,915,444,215.471,178.949,6.94812
12002,253,1969,166,11350,200,3791,3953,1422,915,444,247.446,187.245,8.436
12003,254,1992,166,11323,200,3825,3908,1375,969,443,238.522,169.299,5.70765
12004,255,2014,165,11288,200,3733,4083,1601,922,441,228.275,158.106,4.59106
12005,254,2033,166,11230,200,3668,4131,1601,998,441,226.956,186.726,5.46387
12006,253,2049,166,11162,200,3826,4045,1529,1002,443,255.703,166.516,10.0162
12007,253,2061,166,11143,200,3811,4008,1491,964,442,259.581,163.512,11.7296
12008,256,2069,166,11179,200,3844,4076,1372,959,443,219.723,157.708,5.38506
12009,255,2066,166,11187,200,3865,4020,1305,955,446,219.723,157.708,5.38506
12010,255,2058,166,11200,200,3751,4064,1279,919,443,220.381,184.705,4.83957
12011,256,2044,166,11250,200,3774,4137,1256,876,441,217.807,156.433,5.18327
12012,256,2026,166,11301,200,3774,4137,1301,876,441,207.644,164.173,3.59009
12013,256,2003,167,11360,200,3841,4133,1287,962,438,201.016,167.733,3.90154
12014,257,1980,167,11434,200,3843,3972,1294,903,443,196.704,147.348,3.53996
12015,257,1959,167,11487,200,3881,3857,1294,911,440,185.204,175.327,3.83164
12016,257,1941,167,11535,200,3807,3912,1338,977,447,194.131,164.844,3.92847
12017,256,1930,167,11565,200,3726,4076,1303,1055,448,191.739,180.042,3.86764
12018,256,1925,167,11570,200,3808,4175,1335,1083,448,211.619,179.576,6.3458
12019,256,1925,167,11581,200,3796,4085,1298,948,448,208.106,180.295,4.95066
12020,254,1942,167,11530,200,3776,4015,1319,892,445,224.773,185.013,6.11081
12021,255,1954,167,11539,200,3897,3986,1338,854,446,224.711,159.672,3.75467
12022,255,1966,167,11524,200,3897,3986,1334,854,446,224.711,159.672,3.75467
12023,256,1977,167,11531,200,4004,3929,1330,835,448,219.503,148.725,3.50527
12024,255,1986,167,11507,200,4086,3916,1382,863,446,214.148,184.156,4.61024
12025,256,1996,167,11508,200,4053,3879,1382,865,451,215.834,159.778,5.42925
12026,254,2005,167,11432,200,3850,3997,1416,868,448,214.153,179.253,6.6994
12027,254,2014,167,11413,200,3791,4005,1446,859,447,235.454,161.355,7.42973
12028,254,2024,167,11385,200,3885,4033,1395,856,445,253.626,165.417,5.92103
12029,254,2033,166,11357,200,3576,4181,1396,923,446,245.593,162.211,4.60947
12030,253,2043,166,11319,200,3664,4077,1383,852,446,250.609,178.883,4.03402
12031,253,2052,166,11267,200,3660,4216,1415,796,446,257.379,172.421,4.78234
12032,253,2062,166,11244,200,3660,4216,1366,796,446,258.379,165.467,6.99464
12033,254,2081,165,11196,200,3719,4158,1441,831,446,245.965,135.202,5.0252
12034,254,2092,165,11176,200,3651,4272,1417,861,448,236.803,178.147,4.9839
12035,253,2104,165,11096,200,3625,4161,1417,902,443,236.803,178.147,4.9839
12036,253,2115,165,11032,200,3568,4178,1398,921,441,248.164,193.049,4.97617
12037,252,2124,165,10970,200,3390,4280,1419,945,442,265.097,184.584,4.78233
12038,253,2131,165,10951,200,3342,4356,1549,969,447,269.547,163.529,6.89538
12039,253,2134,165,10945,200,3396,4203,1512,1021,448,258.151,137.954,5.75417
12040,253,2132,165,10945,200,3412,4185,1447,1037,448,255.439,172.86,6.43505
12041,254,2127,165,10950,200,3412,4185,1450,1037,448,249.45,163.11,5.61687
12042,254,2119,166,10964,200,3503,4273,1423,991,448,254.079,167.155,6.6667
12043,254,2109,166,10992,200,3603,4239,1421,975,448,239.989,156.202,5.35595
12044,254,2097,166,11017,200,3623,4178,1329,965,447,243.3,198.12,6.04892
12045,255,2072,166,11084,200,3705,4156,1329,922,444,229.921,173.863,4.09993
12046,255,2059,166,11123,200,3688,4241,1339,929,448,222.444,152.524,3.39429
12047,256,2047,166,11172,200,3691,4272,1312,945,449,222.444,152.524,3.39429
12048,256,2036,167,11193,200,3809,4184,1376,966,449,212.651,176.974,3.39412
12049,255,2024,167,11219,200,3861,4023,1528,917,447,219.38,169.394,3.89091
12050,255,2012,167,11242,200,3800,3994,1442,871,447,220.314,161.405,3.86652
12051,256,1999,167,11294,200,3800,3994,1328,871,447,219.571,151.058,3.67618
12052,256,1987,167,11348,200,3764,3884,1302,895,444,209.146,168.666,3.63118
12053,256,1975,167,11391,200,3848,3893,1349,898,444,205.641,155.68,3.60688
12054,256,1967,167,11402,200,3855,3962,1349,977,447,201.4,188.799,4.95914
12055,255,1962,167,11401,200,3867,4060,1326,1012,446,219.147,176.013,5.18181
12056,256,1960,167,11432,200,3734,3991,1320,894,443,218.648,153.535,4.06089
12057,254,1971,167,11380,200,3845,4112,1354,796,446,238.594,197.18,7.81035
12058,254,1981,167,11360,200,3848,4102,1353,779,448,244.731,170.681,6.80542
12059,255,1995,166,11385,200,3673,4158,1363,835,447,223.452,167.508,4.71742
12060,254,2010,166,11336,200,3558,4205,1344,868,444,223.452,167.508,4.71742
12061,255,2024,166,11322,200,3558,4205,1384,868,444,241.014,179.576,7.06054
12062,255,2037,166,11291,200,3771,4001,1364,861,446,231.631,175.488,4.35972
12063,255,2046,166,11295,200,3848,4118,1348,904,448,241.094,153.895,5.59701
12064,256,2051,166,11298,200,3816,4161,1348,895,448,223.401,162.919,5.38754
12065,256,2051,166,11312,200,3894,4021,1396,822,448,221.118,157.199,5.38923
12066,256,2046,167,11327,200,4001,3953,1345,824,445,205.326,156.432,5.56003
12067,257,2036,167,11366,200,3846,3976,1327,890,447,200.915,151.101,4.15492
12068,257,2022,167,11405,200,3756,3995,1328,871,447,194.973,171.863,4.23598
12069,258,2006,167,11462,200,3737,4041,1356,882,452,183.118,149.42,3.53616
12070,258,1972,168,11556,200,3776,4043,1452,899,447,176.389,162.992,4.47553
12071,258,1957,168,11594,200,3776,4043,1490,899,447,181.728,192.092,5.1347
12072,258,1943,168,11630,200,4028,3928,1544,912,450,179.181,155.296,4.22591
12073,258,1930,168,11677,200,4013,3832,1389,878,447,179.181,155.296,4.22591
12074,258,1919,168,11706,200,3993,3868,1389,901,449,174.201,164.784,4.41861
12075,258,1909,168,11730,200,3879,4082,1356,876,447,173.766,169.463,4.64451
12076,258,1902,168,11748,200,3850,4129,1373,861,447,176.874,197.417,4.98575
12077,259,1894,168,11783,200,3795,4208,1330,897,448,182.388,160.878,4.78703
12078,258,1887,168,11783,200,3820,4077,1294,858,452,176.407,189.527,5.59002
12079,258,1880,169,11820,200,3822,4108,1417,1116,455,177.426,168.161,5.25027
12080,259,1873,169,11849,200,3820,4119,1497,1882,451,170.577,181.75,5.19365
12081,259,1867,169,11873,200,3820,4119,1355,1882,451,169.241,163.638,3.97394
12082,260,1856,169,11926,200,3806,4122,1347,1281,453,156.527,162.27,3.68477
12083,260,1851,169,11944,200,3761,4060,1342,1031,454,154.804,167.099,3.47673
12084,260,1848,169,11962,200,3747,4018,1342,991,454,156.344,170.702,4.78384
12085,260,1846,169,11981,200,3774,4072,1286,986,455,149.755,143.132,4.10113
12086,260,1846,169,11990,200,3613,3988,1289,1073,454,149.755,143.132,4.10113
12087,260,1850,169,11978,200,3489,4084,1310,1109,453,147.538,187.956,3.96286
12088,259,1856,169,11963,200,3516,4034,1338,1067,452,157.694,167.391,4.20931
12089,258,1865,169,11934,200,3689,3920,1326,1010,448,169.717,188.161,4.70006
12090,259,1874,168,11935,200,3678,3973,1370,933,447,172.349,166.03,5.05487
12091,259,1883,168,11928,200,3678,3973,1284,933,447,160.613,160.888,4.82474
12092,259,1892,168,11913,200,3749,3885,1280,916,443,165.919,179.838,5.82465
12093,259,1900,168,11907,200,3818,3870,1329,906,443,164.232,170.087,4.87625
12094,259,1909,169,11922,200,4003,3833,1329,907,441,152.375,170.491,4.48913
12095,260,1910,169,11939,200,4078,3725,1449,902,448,163.609,128.702,4.19796
12096,260,1912,169,11959,200,3805,3845,1307,900,450,145.506,191.739,4.12756
12097,259,1915,169,11956,200,3747,3889,1335,900,452,164.755,177.868,4.65253
12098,260,1919,169,11969,200,3686,3837,1337,891,448,157.019,157.172,4.48739
12099,259,1927,168,11959,200,3704,3959,1347,884,447,157.019,157.172,4.48739
12100,259,1940,168,11943,200,3704,3959,1328,884,447,162.332,170.891,6.83347
12101,259,1957,168,11917,200,3671,3909,1393,950,448,161.942,168.83,5.14322
12102,258,1974,168,11865,200,3796,3877,1391,1006,448,173.679,206.335,7.65018
12103,259,1992,168,11849,200,3918,3892,1328,1070,448,177.417,176.244,7.29973
12104,259,2008,168,11827,200,3880,3784,1328,1025,448,170.9,167.696,7.89567
12105,259,2021,168,11797,200,3817,3838,1325,965,451,166.223,170.468,6.44481
12106,259,2036,168,11762,200,3717,3948,1340,1017,456,181.522,194.506,5.50006
12107,259,2039,168,11774,200,3547,3952,1463,1037,452,174.677,132.914,6.89306
12108,259,2041,168,11769,200,3681,3822,1441,985,456,167.464,205.165,5.38346
12109,259,2043,168,11768,200,3697,3786,1446,952,457,171.178,164.459,4.82143
12110,259,2043,168,11768,200,3697,3786,1493,952,457,171.839,147.828,5.323
12111,259,2040,168,11777,200,3627,3893,1483,923,452,171.839,147.828,5.323
12112,259,2035,169,11787,200,3649,3889,1520,940,454,161.727,173.762,6.15944
12113,260,2025,169,11827,200,3752,3933,1630,935,454,172.269,187.448,5.32688
12114,261,2011,169,11890,200,3681,3809,1630,947,453,153.714,142.642,5.27405
12115,262,1994,169,11941,200,3699,3770,2737,1043,457,140.157,149.73,4.24904
12116,261,1979,169,11983,200,3625,3888,2741,1107,458,129.044,148.306,2.52711
12117,261,1964,169,12012,200,3548,3953,1783,1034,458,134.495,175.733,3.10047
12118,260,1951,169,12043,200,3844,3893,1595,909,452,146.77,166.962,3.55984
12119,260,1936,169,12080,200,3804,3782,1386,933,448,159.385,166.251,4.38645
12120,260,1935,169,12093,200,3804,3782,1283,933,448,163.043,165.642,5.52152
12121,260,1936,169,12109,200,3775,3767,1272,947,452,158.035,180.16,7.10408
12122,261,1940,169,12129,200,3685,3891,1237,1040,451,149.467,144.844,5.01781
12123,261,1945,170,12127,200,3716,3940,1237,969,452,144.075,173.592,3.36015
12124,261,1950,170,12133,200,3782,3838,1254,931,455,144.075,173.592,3.36015
12125,261,1955,170,12126,200,3829,3830,1304,958,455,141.925,154.086,3.12919
12126,261,1959,170,12122,200,3795,3747,1302,961,455,143.581,169.685,3.32547
12127,261,1962,170,12112,200,3865,3657,1243,977,455,145.43,173.734,3.30942
12128,260,1965,170,12105,200,3827,3695,1298,901,451,152.743,173.439,3.3654
12129,260,1966,170,12088,200,3872,3787,1352,840,452,162.203,185.34,4.58896
12130,260,1967,170,12084,200,3872,3787,1315,840,452,164.911,169.006,4.01012
12131,259,1969,170,12065,200,3774,3866,1313,955,450,174.129,171.476,4.37547
12132,260,1970,170,12081,200,3797,3819,1342,1009,455,165.094,163.826,3.34557
12133,260,1973,170,12074,200,3774,3796,1342,1046,456,166.504,175.237,4.28469
12134,259,1979,170,12054,200,3898,3776,1355,1013,449,173.033,192.458,5.00658
12135,259,1986,170,12023,200,3880,3819,1373,1030,457,176.464,175.313,4.56409
12136,259,1996,170,12004,200,3795,3884,1376,1047,458,181.271,177.978,6.09191
12137,258,2007,170,11970,200,3797,3932,1464,957,452,181.271,177.978,6.09191
12138,258,2019,170,11927,200,3818,3980,1459,971,458,198.403,204.912,8.2746
12139,259,2031,170,11929,200,3516,4169,1544,892,457,200.753,152.955,5.8435
12140,257,2044,170,11848,200,3555,4143,1346,843,455,188.561,199.924,5.40423
12141,258,2057,169,11847,200,3760,4011,1413,920,455,211.609,170.068,6.75974
12201,255,1924,166,11485,200,4014,3814,1371,940,444,202.638,202.068,4.62631
12202,255,1945,166,11434,200,4014,3814,1530,940,444,219.315,163.845,5.50746
12203,254,1968,166,11358,200,3747,4028,1371,934,443,224.656,194.098,6.65788
12204,254,1991,166,11310,200,3707,4039,1379,896,442,246.322,176.094,8.28177
12205,254,2012,166,11273,200,3718,3962,1484,949,443,240.353,173.494,6.31549
12206,255,2031,165,11247,200,3533,4091,1484,927,438,230.482,142.804,6.03831
12207,255,2046,165,11201,200,3608,4178,1731,900,443,219.354,165.335,4.79141
12208,255,2057,166,11190,200,3832,4055,1552,909,443,217.798,190.075,6.50935
12209,254,2064,166,11143,200,3753,4182,1401,868,446,237.605,175.274,8.76911
12210,255,2059,166,11181,200,3761,4143,1320,882,446,250.173,176.613,9.45658
12211,255,2047,166,11222,200,3759,4009,1309,894,447,238.956,178.515,9.19874
12212,256,2030,166,11273,200,3759,4009,1293,894,447,228.965,141.725,7.86849
12213,256,2009,167,11333,200,3919,4001,1292,928,447,214.648,148.388,5.09706
12214,257,1985,167,11414,200,3969,3977,1354,909,444,209.802,137.73,5.3775
12215,257,1962,167,11467,200,3854,3877,1354,946,448,184.995,160.006,3.51426
12216,256,1943,168,11511,200,3849,3915,1431,1012,452,203.212,186.332,4.54945
12217,257,1930,168,11562,200,3733,4075,1365,1055,450,196.479,142.405,3.47961
12218,256,1923,167,11586,200,3715,4262,1408,966,448,199.586,178.625,4.06164
12219,256,1924,167,11580,200,3858,4128,1338,923,444,201.876,171.255,4.78987
12220,255,1930,167,11573,200,3790,4157,1364,936,448,208.714,185.665,4.27653
12221,255,1954,167,11538,200,3663,4312,1501,895,451,232.7,174.263,8.05545
12222,255,1967,167,11523,200,3663,4312,1390,895,451,217.649,175.804,3.76408
12223,255,1980,167,11499,200,3859,4123,1329,850,451,223.413,162.924,3.79046
12224,255,1992,167,11487,200,4027,3899,1302,845,451,229.683,182.326,4.74749
12225,256,2001,167,11493,200,3966,3951,1302,829,451,221.697,171.311,3.96271
12226,255,2011,167,11456,200,4012,3912,1312,833,452,214.635,153.17,4.55784
12227,255,2020,167,11424,200,3619,4113,1377,842,451,217.346,168.792,6.43908
12228,254,2028,166,11366,200,3609,4083,1389,831,446,246.867,183.253,10.9363
12229,254,2038,166,11356,200,3637,4175,1407,872,447,234.945,170.424,4.76368
12230,253,2047,166,11304,200,3599,4148,1349,894,448,243.826,181.281,3.86193
12231,253,2057,166,11259,200,3647,4075,1381,856,447,247.445,190.791,4.31975
12232,253,2068,166,11217,200,3647,4075,1408,856,447,262.146,180.207,7.86863
12233,252,2080,165,11132,200,3563,4160,1553,825,447,278.268,171.233,9.09388
12234,254,2108,165,11111,200,3552,4273,1467,861,448,255.711,151.793,6.59245
12235,254,2122,165,11073,200,3526,4170,1467,918,447,255.711,151.793,6.59245
12236,253,2134,164,10993,200,3470,4241,1471,934,442,246.189,168.32,4.54734
12237,253,2144,165,10942,200,3495,4283,1419,917,441,260.682,185.057,4.64676
12238,253,2150,165,10930,200,3494,4285,1531,934,440,256.005,156.373,4.60572
12239,254,2152,165,10929,200,3489,4207,1564,987,447,246.833,158.574,4.75031
12240,254,2149,165,10921,200,3533,4228,1522,1038,448,239.042,159.37,4.61929
12241,254,2142,165,10922,200,3584,4193,1440,992,446,237.287,174.085,4.6244
12242,254,2131,166,10953,200,3584,4193,1479,992,446,237.492,163.007,4.49074
12243,254,2119,166,10962,200,3701,4203,1358,992,445,229.394,171.712,3.94402
12244,253,2106,166,10954,200,3746,4077,1523,1000,447,243.317,181.534,6.90386
12245,254,2093,166,11017,200,3672,4120,1523,994,446,232.53,172.258,5.81014
12246,255,2069,166,11108,200,3708,4116,1410,899,446,224.759,190.382,5.02056
12247,255,2057,166,11136,200,3735,4131,1334,917,452,224.759,190.382,5.02056
12248,255,2046,167,11142,200,3826,4074,1383,878,452,223.7,172.519,4.66793
12249,255,2033,167,11186,200,3775,4109,1389,861,448,235.85,168.124,5.71467
12250,255,2020,167,11241,200,3752,4054,1348,872,447,223.253,146.584,4.27272
12251,256,2005,167,11294,200,3888,3831,1334,916,448,212.539,161.348,3.49447
12252,256,1991,167,11348,200,3888,3831,1303,916,448,207.692,165.044,3.84993
12253,257,1978,167,11394,200,3896,3839,1296,883,448,201.438,139.978,4.20901
12254,256,1968,167,11413,200,3783,3928,1319,909,447,197.241,179.002,3.75208
12255,256,1963,167,11418,200,3796,3962,1319,914,447,205.586,172.347,3.66248
